Symbol,Category_cl
A1BG,Protein Coding
A1BG-AS1,lncRNA
A1CF,Protein Coding
A2M,Protein Coding
A2M-AS1,lncRNA
A2ML1,Protein Coding
A2ML1-AS1,lncRNA
A2ML1-AS2,lncRNA
A2MP1,Pseudogene
A3GALT2,Protein Coding
A4GALT,Protein Coding
A4GNT,Protein Coding
AAAS,Protein Coding
AACS,Protein Coding
AACSP1,Pseudogene
AADAC,Protein Coding
AADACL2,Protein Coding
AADACL2-AS1,lncRNA
AADACL3,Protein Coding
AADACL4,Protein Coding
AADACP1,Pseudogene
AADAT,Protein Coding
AAGAB,Protein Coding
AAK1,Protein Coding
AAMDC,Protein Coding
AAMP,Protein Coding
AANAT,Protein Coding
AAR2,Protein Coding
AARD,Protein Coding
AARS1,Protein Coding
AARS1P1,Pseudogene
AARS2,Protein Coding
AARSD1,Protein Coding
AARSD1P1,Pseudogene
AASDH,Protein Coding
AASDHPPT,Protein Coding
AASS,Protein Coding
AATBC,lncRNA
AATF,TF
AATK,Protein Coding
AAVS1,other
ABALON,lncRNA
ABAT,Protein Coding
ABCA1,Protein Coding
ABCA2,TF
ABCA3,Protein Coding
ABCA3P1,Pseudogene
ABCA4,Protein Coding
ABCA5,Protein Coding
ABCA6,Protein Coding
ABCA7,Protein Coding
ABCA8,Protein Coding
ABCA9,Protein Coding
ABCA9-AS1,lncRNA
ABCA10,Protein Coding
ABCA11P,Pseudogene
ABCA12,Protein Coding
ABCA13,Protein Coding
ABCA17P,Pseudogene
ABCB1,Protein Coding
ABCB4,Protein Coding
ABCB5,Protein Coding
ABCB6,Protein Coding
ABCB7,Protein Coding
ABCB8,Protein Coding
ABCB9,Protein Coding
ABCB10,Protein Coding
ABCB10P1,Pseudogene
ABCB10P3,Pseudogene
ABCB10P4,Pseudogene
ABCB11,Protein Coding
ABCC1,Protein Coding
ABCC2,Protein Coding
ABCC3,Protein Coding
ABCC4,Protein Coding
ABCC5,Protein Coding
ABCC5-AS1,lncRNA
ABCC6,Protein Coding
ABCC6P1,Pseudogene
ABCC6P2,Pseudogene
ABCC8,Protein Coding
ABCC9,Protein Coding
ABCC10,Protein Coding
ABCC11,Protein Coding
ABCC12,Protein Coding
ABCC13,Pseudogene
ABCD1,Protein Coding
ABCD1P1,Pseudogene
ABCD1P2,Pseudogene
ABCD1P3,Pseudogene
ABCD1P4,Pseudogene
ABCD1P5,Pseudogene
ABCD2,Protein Coding
ABCD3,Protein Coding
ABCD4,Protein Coding
ABCE1,Protein Coding
ABCF1,Protein Coding
ABCF1-DT,lncRNA
ABCF2,Protein Coding
ABCF2-H2BK1,other
ABCF2P1,Pseudogene
ABCF2P2,Pseudogene
ABCF3,Protein Coding
ABCG1,TF
ABCG2,Protein Coding
ABCG4,Protein Coding
ABCG5,Protein Coding
ABCG8,Protein Coding
ABHD1,Protein Coding
ABHD2,Protein Coding
ABHD3,Protein Coding
ABHD4,Protein Coding
ABHD5,Protein Coding
ABHD6,Protein Coding
ABHD8,Protein Coding
ABHD10,Protein Coding
ABHD11,Protein Coding
ABHD11-AS1,lncRNA
ABHD12,Protein Coding
ABHD12B,Protein Coding
ABHD13,Protein Coding
ABHD14A,Protein Coding
ABHD14A-ACY1,other
ABHD14B,Protein Coding
ABHD15,Protein Coding
ABHD15-AS1,lncRNA
ABHD16A,Protein Coding
ABHD16B,Protein Coding
ABHD17A,Protein Coding
ABHD17AP1,Pseudogene
ABHD17AP3,Pseudogene
ABHD17AP4,Pseudogene
ABHD17AP5,Pseudogene
ABHD17AP6,Pseudogene
ABHD17AP7,Pseudogene
ABHD17AP8,Pseudogene
ABHD17AP9,Pseudogene
ABHD17B,Protein Coding
ABHD17C,Protein Coding
ABHD18,Protein Coding
ABI1,Protein Coding
ABI1P1,Pseudogene
ABI2,Protein Coding
ABI3,Protein Coding
ABI3BP,Protein Coding
ABITRAM,Protein Coding
ABITRAMP1,Pseudogene
ABL1,TF
ABL2,Protein Coding
ABLIM1,Protein Coding
ABLIM2,Protein Coding
ABLIM3,Protein Coding
ABO,Protein Coding
ABR,Protein Coding
ABR-AS1,lncRNA
ABRA,TF
ABRACL,Protein Coding
ABRAXAS1,Protein Coding
ABRAXAS2,Protein Coding
ABT1,TF
ABT1P1,Pseudogene
ABTB1,TF
ABTB2,Protein Coding
ACAA1,Protein Coding
ACAA2,Protein Coding
ACAA2P1,Pseudogene
ACACA,Protein Coding
ACACB,Protein Coding
ACAD8,TF
ACAD9,Protein Coding
ACAD9-DT,lncRNA
ACAD10,Protein Coding
ACAD11,Protein Coding
ACADL,Protein Coding
ACADM,Protein Coding
ACADS,Protein Coding
ACADSB,Protein Coding
ACADVL,Protein Coding
ACAN,Protein Coding
ACAP1,Protein Coding
ACAP2,Protein Coding
ACAP2-IT1,lncRNA
ACAP3,Protein Coding
ACAT1,Protein Coding
ACAT2,Protein Coding
ACBD3,Protein Coding
ACBD3-AS1,lncRNA
ACBD4,Protein Coding
ACBD5,Protein Coding
ACBD6,Protein Coding
ACBD7,Protein Coding
ACCS,Protein Coding
ACCSL,Protein Coding
ACD,Protein Coding
ACE,Protein Coding
ACE2,Protein Coding
ACE3P,Pseudogene
ACER1,Protein Coding
ACER2,Protein Coding
ACER2P1,Pseudogene
ACER3,Protein Coding
ACHE,Protein Coding
ACIN1,Protein Coding
ACKR1,Protein Coding
ACKR2,Protein Coding
ACKR3,Protein Coding
ACKR4,Protein Coding
ACKR4P1,Pseudogene
ACLY,Protein Coding
ACMSD,Protein Coding
ACNATP,Pseudogene
ACO1,Protein Coding
ACO2,Protein Coding
ACOD1,Protein Coding
ACOT1,Protein Coding
ACOT2,Protein Coding
ACOT4,Protein Coding
ACOT6,Protein Coding
ACOT7,Protein Coding
ACOT8,Protein Coding
ACOT9,Protein Coding
ACOT11,Protein Coding
ACOT12,Protein Coding
ACOT13,Protein Coding
ACOX1,Protein Coding
ACOX2,Protein Coding
ACOX3,Protein Coding
ACOXL,Protein Coding
